news_id,label,human,prompt,theme sentence or passage,synthetic misinformation,generation_approach
5090,1,Wisconsin Governor Tony Evers is Òpushing firearm confiscation orders.Ó  ,"You are a journalist. Given a 'passage', please paraphrase it. Do not generate any other word. The 'passage' is: ",Wisconsin Governor Tony Evers is Òpushing firearm confiscation orders.Ó  ,"Evers' proposal would allow judges to issue temporary restraining orders to seize guns from people believed to pose a threat to themselves or others. The move comes after a string of mass shootings across the country, including one in August at a Walmart in El Paso, Texas, that left 22 people dead.

Supporters argue the measure would help prevent gun violence by taking firearms away from people who might harm themselves or others. Critics, however, say it infringes on due process rights and could lead to the confiscation of guns from people who haven't committed any crimes.

Evers' proposal would require a judge to consider a variety of factors before issuing the order, including recent acts or threats of violence, the presence of a mental health issue, and the person's access to firearms. The measure would also allow family members and law enforcement officials to petition a court for the order.

Under the proposal, a person subject to a firearm confiscation order would be prohibited from possessing or purchasing firearms for the duration of the order, which could last up to one year. The person would also be required to turn over any firearms in their possession to law enforcement.

Opponents of the plan argue that it would do little to prevent gun violence, while supporters say it's a crucial step toward making communities safer. The proposal is expected to face fierce opposition in the Republican-controlled state legislature.",paraphrase_generation
4885,1,Facebook posts shared in at least three countries as scientists work to develop a COVID-19 vaccine claim to offer a legal way to refuse vaccination.  ,"You are a journalist. Given a 'passage', please paraphrase it. Do not generate any other word. The 'passage' is: ",Facebook posts shared in at least three countries as scientists work to develop a COVID-19 vaccine claim to offer a legal way to refuse vaccination.  ,"The post, which has been shared more than 1,200 times, advises people to download a ""legal document"" to protect themselves from being ""forced"" to receive the vaccine. It is accompanied by an image of a form with the title ""Declaration of exemption from COVID-19 vaccine"".  
The post, which originated in the UK, has been shared in Australia and New Zealand, with many expressing concern over the potential mandatory vaccination programme.  
One user commented: ""It's not about anti-vax, it's about choice and not being forced to do something to your body that you don't want.""  
Another said: ""I don't trust big pharma or the government to do what's best for me.""
",paraphrase_generation
4722,1,“For the World Health Organization the international entity whose sole responsibility it is to alert the world of global pandemics like this to miss this is a huge problem.” on fox across america with jimmy failla rep. brian fitzpatrick r pa discussed the made in america bill he and others in the problem solvers caucus are supporting which includes ways to hold china and the world health organization responsible for their roles in spreading the covid-19 virus across the globe. i think everybody ought to be angry and outraged at what transpired. and included in this made in america bill is a full audit of the world health organization. on january 14th they.  on fox across america with jimmy failla rep. brian fitzpatrick r pa discussed the made in america bill he and others in the problem solvers caucus are supporting which includes ways to hold china and the world health organization responsible for their roles in spreading the covid-19 virus acro. ,"You are a journalist. Given a 'passage', please paraphrase it. Do not generate any other word. The 'passage' is: ",“For the World Health Organization the international entity whose sole responsibility it is to alert the world of global pandemics like this to miss this is a huge problem.” on fox across america with jimmy failla rep. brian fitzpatrick r pa discussed the made in america bill he and others in the problem solvers caucus are supporting which includes ways to hold china and the world health organization responsible for their roles in spreading the covid-19 virus across the globe. i think everybody ought to be angry and outraged at what transpired. and included in this made in america bill is a full audit of the world health organization. on january 14th they.  on fox across america with jimmy failla rep. brian fitzpatrick r pa discussed the made in america bill he and others in the problem solvers caucus are supporting which includes ways to hold china and the world health organization responsible for their roles in spreading the covid-19 virus acro. ,on fox across america with jimmy failla rep. brian fitzpatrick r pa discussed the made in america bill he and others in the problem solvers caucus are supporting which includes ways to hold china and the world health organization responsible for their roles in spreading the covid-19 virus across the globe. i think everybody ought to be angry and outraged at what transpired. and included in this made in america bill is a full audit of the world health organization. on january 14th they.,paraphrase_generation
5037,1,COVID-19 is a hoax or scapegoat for economic disaster.  ,"You are a journalist. Given a 'passage', please paraphrase it. Do not generate any other word. The 'passage' is: ",COVID-19 is a hoax or scapegoat for economic disaster.  ,COVID-19 has been claimed to be a fabrication or a scapegoat for economic turmoil.,paraphrase_generation
5140,1,Bill Gates and the Vatican have a plan to depopulate the world with a coronavirus vaccine.  ,"You are a journalist. Given a 'passage', please paraphrase it. Do not generate any other word. The 'passage' is: ",Bill Gates and the Vatican have a plan to depopulate the world with a coronavirus vaccine.  ,You are required to provide a paraphrase that does not include the word 'coronavirus'.,paraphrase_generation
5041,1,Did Kennedy Center give DNC $5 million after getting relief from coronavirus stimulus?  ,"You are a journalist. Given a 'passage', please paraphrase it. Do not generate any other word. The 'passage' is: ",Did Kennedy Center give DNC $5 million after getting relief from coronavirus stimulus?  ,A question has been raised about whether the Kennedy Center gave $5 million to the DNC after receiving relief from the coronavirus stimulus package.,paraphrase_generation
4934,1,Mosques allowed to stay open in the US during the coronavirus epidemic while churches are forced to close.  ,"You are a journalist. Given a 'passage', please paraphrase it. Do not generate any other word. The 'passage' is: ",Mosques allowed to stay open in the US during the coronavirus epidemic while churches are forced to close.  ,"As the coronavirus continues to spread throughout the United States, many public gathering spaces have been forced to close their doors, including churches. However, mosques have been granted the ability to remain open, raising questions about the fairness of these policies.  
In many communities, churches have been instrumental in providing essential support and resources to those in need, including meal programs and other social services. With these organizations now forced to close their doors, many are left wondering how they will continue to serve their congregations and the wider community.  
On the other hand, mosques have been allowed to stay open, providing a place of worship and refuge for Muslims during these challenging times. While some argue that this decision is necessary to protect religious freedom, others argue that it raises questions about the fairness and equality of these policies.  
As the coronavirus continues to impact communities across the country, it is important to consider the implications of these decisions and how they may affect the wellbeing of all citizens. Balancing public health concerns with the need for religious freedom is a complex issue, but one that must be addressed to ensure that everyone is able to access the resources and support they need during this crisis.",paraphrase_generation
5382,1,Data shows a massive release of sulfur dioxide gas near Wuhan.  ,"You are a journalist. Given a 'passage', please paraphrase it. Do not generate any other word. The 'passage' is: ",Data shows a massive release of sulfur dioxide gas near Wuhan.  ,"1. According to information, a large amount of sulfur dioxide gas was released near Wuhan.",paraphrase_generation
5349,1,Election years in the United States coincide with major disease outbreaks.  ,"You are a journalist. Given a 'passage', please paraphrase it. Do not generate any other word. The 'passage' is: ",Election years in the United States coincide with major disease outbreaks.  ,The re-election of a president is followed by a decline in the disease's prevalence.,paraphrase_generation
5246,1,A post shows a rail freight tanker with ÒCOVID-19Ó stamped on one side.  ,"You are a journalist. Given a 'passage', please paraphrase it. Do not generate any other word. The 'passage' is: ",A post shows a rail freight tanker with ÒCOVID-19Ó stamped on one side.  ,Subtitle: ÒCORONA-19Ó train transport questioned.,paraphrase_generation
