news_id,label,human,prompt,theme sentence or passage,synthetic misinformation,generation_approach
politifact13515,1,See more of Sid Miller on Facebook,"You are a journalist. Given a 'passage', please paraphrase it. Do not generate any other word. The 'passage' is: ",See more of Sid Miller on Facebook,"Log in or sign up for Facebook to connect with Sid Miller.

Sid Miller is on Facebook. Join Facebook to connect with Sid Miller and others you may know. Facebook gives people the power to share and makes the world more open and connected.

The passage appears to be a Facebook page for Sid Miller. It contains a profile picture, cover photo, and some posts.",paraphrase_generation
politifact14859,1,"About Trendolizer™Trendolizer™ (patent pending) automatically scans the internet for trending content. The website you are looking at has no human editors at all: links to trending stories are automatically posted from a selection of the data Trendolizer™ picked up. If you are interested in using the Trendolizer™ engine, dashboard or API for your own projects, more information is available at get.trendolizer.com . Trendolizer™ is owned by Lead Stories LLCPrivacy policyThis site uses cookies to track user behaviour on this site, without linking to personally identifiable data. Advertisers may also use cookies, but the scope and nature of this use is beyond our control.","You are a journalist. Given a 'passage', please paraphrase it. Do not generate any other word. The 'passage' is: ","About Trendolizer™Trendolizer™ (patent pending) automatically scans the internet for trending content. The website you are looking at has no human editors at all: links to trending stories are automatically posted from a selection of the data Trendolizer™ picked up. If you are interested in using the Trendolizer™ engine, dashboard or API for your own projects, more information is available at get.trendolizer.com . Trendolizer™ is owned by Lead Stories LLCPrivacy policyThis site uses cookies to track user behaviour on this site, without linking to personally identifiable data. Advertisers may also use cookies, but the scope and nature of this use is beyond our control.","For more information on our privacy policy, click here.",paraphrase_generation
politifact13921,1,"A South African utility company has been given an ultimatum to reduce it’s number of white employees by 44.3% over the next five years. This means 3,389 whites have to go. It is part of the Federal “Black Empowerment” program.For years, Eskom has been under orders to only hire non-whites as new employees. The firm says it is having major problems finding enough qualified non-white applicants. Currently, Eskom’s middle managers are 30% white and it’s skilled labor force is 21% white.The South African government has also ordered Eskom to reduce it’s safety requirements to make it easier for non-white applicants to qualify for jobs.Eskom is ordered to reduce the number of white engineers by 1,081, and the number of white skilled laborers by 2,179.South Africa is currently experiencing a rapid collapse of it’s electrical infrastructure and power routinely goes out all over the country.Source (South Africa Channel 24)","You are a journalist. Given a 'passage', please paraphrase it. Do not generate any other word. The 'passage' is: ","A South African utility company has been given an ultimatum to reduce it’s number of white employees by 44.3% over the next five years. This means 3,389 whites have to go. It is part of the Federal “Black Empowerment” program.For years, Eskom has been under orders to only hire non-whites as new employees. The firm says it is having major problems finding enough qualified non-white applicants. Currently, Eskom’s middle managers are 30% white and it’s skilled labor force is 21% white.The South African government has also ordered Eskom to reduce it’s safety requirements to make it easier for non-white applicants to qualify for jobs.Eskom is ordered to reduce the number of white engineers by 1,081, and the number of white skilled laborers by 2,179.South Africa is currently experiencing a rapid collapse of it’s electrical infrastructure and power routinely goes out all over the country.Source (South Africa Channel 24)","A South African energy company, Eskom, has been given a strict deadline to decrease its white employees by 44.3% over the next five years, which amounts to 3,389 workers. This is part of the nation's ""Black Empowerment"" program. For several years, Eskom has been obligated to only employ non-white individuals. The firm has reported difficulties in finding a sufficient number of qualified non-white applicants. At present, Eskom's middle management is 30% white and its skilled labor force is 21% white.

The South African government has also mandated Eskom to decrease its safety requirements, making it easier for non-white applicants to qualify for positions. Eskom is required to reduce the number of white engineers by 1,081 and white skilled laborers by 2,179. Currently, South Africa is experiencing a swift collapse of its electrical infrastructure, with power outages occurring frequently throughout the country.

Source: South Africa Channel 24",paraphrase_generation
politifact14408,1,2018 Copyright. All Rights Reserved.The Sponsored Listings displayed above are served automatically by a third party. Neither the service provider nor the domain owner maintain any relationship with the advertisers. In case of trademark issues please contact the domain owner directly (contact information can be found in whois).,"You are a journalist. Given a 'passage', please paraphrase it. Do not generate any other word. The 'passage' is: ",2018 Copyright. All Rights Reserved.The Sponsored Listings displayed above are served automatically by a third party. Neither the service provider nor the domain owner maintain any relationship with the advertisers. In case of trademark issues please contact the domain owner directly (contact information can be found in whois).,2018 Copyright. All Rights Reserved. The Sponsored Listings displayed above are served automatically by a third party. Neither the service provider nor the domain owner maintain any relationship with the advertisers. In case of trademark issues please contact the domain owner directly (contact information can be found in whois).,paraphrase_generation
politifact15501,1,"TRUMP APPROVAL RATING Better than Obama and Reagan at Same Point in their PresidenciesAccording to the latest FOX News poll President Donald Trump has a better rating than Presidents Obama and Reagan at the same point in their presidencies.President Trump’s approval is now at 45%.And that is with 90% negative coverage from the far left mainstream media.President Trump – 45%President Obama – 44%President Reagan – 44%On June 9, 2010 Barack Obama’s approval number was 46% on the Rasmussen poll.President Trump’s approval number is at 47% according to Rasmussen today.Again…. That is with 90% extremely negative coverage for President Trump!","You are a journalist. Given a 'passage', please paraphrase it. Do not generate any other word. The 'passage' is: ","TRUMP APPROVAL RATING Better than Obama and Reagan at Same Point in their PresidenciesAccording to the latest FOX News poll President Donald Trump has a better rating than Presidents Obama and Reagan at the same point in their presidencies.President Trump’s approval is now at 45%.And that is with 90% negative coverage from the far left mainstream media.President Trump – 45%President Obama – 44%President Reagan – 44%On June 9, 2010 Barack Obama’s approval number was 46% on the Rasmussen poll.President Trump’s approval number is at 47% according to Rasmussen today.Again…. That is with 90% extremely negative coverage for President Trump!",President Trump’s economy is booming with record low unemployment across the board and soaring stock market.President Obama on the other hand presided over a stagnant economy with high unemployment and a sluggish stock market.The same goes for President Reagan who had a strong economy but it was no where near the economic boom that President Trump has created.,paraphrase_generation
politifact14481,1,"There’s a well known saying that “To whom much is given, much is expected” and by all accounts, it appears Floyd Mayweather Jr. knows what he means on the world stage. He’s living up to that expectation. By way of financial support, the newly retired American boxer, Mayweather has offered an overwhelming sum of money to the Hurricane Harvey victims.The World No. 1 undefeated boxer Floyd Mayweather has donated 200 million dollars to help rebuild Houston, after the most populous city in the state of Texas and the fourth-most populous city in the United States was slammed by Hurricane Harvey on Sunday.The donation which will be utilized through his foundation was announced today after he travelled to Houston to ascertain the damage caused by the hurricane.“It is a humanitarian gesture, an act of solidarity and support for a brotherly affected people,” the American boxing hero said.","You are a journalist. Given a 'passage', please paraphrase it. Do not generate any other word. The 'passage' is: ","There’s a well known saying that “To whom much is given, much is expected” and by all accounts, it appears Floyd Mayweather Jr. knows what he means on the world stage. He’s living up to that expectation. By way of financial support, the newly retired American boxer, Mayweather has offered an overwhelming sum of money to the Hurricane Harvey victims.The World No. 1 undefeated boxer Floyd Mayweather has donated 200 million dollars to help rebuild Houston, after the most populous city in the state of Texas and the fourth-most populous city in the United States was slammed by Hurricane Harvey on Sunday.The donation which will be utilized through his foundation was announced today after he travelled to Houston to ascertain the damage caused by the hurricane.“It is a humanitarian gesture, an act of solidarity and support for a brotherly affected people,” the American boxing hero said.",He has also called on other wealthy individuals and organizations to donate to the cause.,paraphrase_generation
politifact13731,1,"Living in regular-sized homes with plenty of space for closets, lockers and shelves gives us little need to think about storage space. In tiny homes, space comes at a premium so storage space is one of the key issues that a tiny house owner will have to plan for when building, buying or furnishing their home. There is only so much we can downsize by moving to a tiny home, so planning for storage space is an integral part of preparation for tiny living.VerticalityTiny houses for sale in Florida have tiny floor plans. There is only so much space to put things on the floor, and once bare necessities such as beds, kitchen elements etc. are taken care of, there is little space left to put all of our stuff. Verticality is key in these situations. Wall-mounted shelving is excellent for organizing your stuff and it doesn’t demand a single inch of your floor. They are also quite inexpensive and easy to install. Instead of having an entertainment center, it is now easy to mount your TV and speakers on the wall, leaving more space for things you can’t compromise with.Multi-functional FurnitureIn a tiny house, a bed doesn’t have the luxury to be just a bed. It needs to perform multiple functions, where storage is one of the most important ones. The same applies to coffee and night tables, sofas and kitchen elements. Beds can have drawers for your linens, or room for storage under their mattress. Instead of a regular coffee table, opt in for a cube design, where multiple storage drawers are integrated for all those small things you don’t have space for.Customized FurnitureSometimes it is difficult to furnish a tiny home, especially if it doesn’t use a standard floor plan. Customized furniture is a huge advantage in tiny homes, where space is at a premium. You can make sure that every single corner and nook of your house can be used in a functional way. The same applies to storage. A well-placed shelf or locker, can perform a very important function while not taking up much space or by utilizing and otherwise unused space. Customized furniture does come at a premium price, but it is one of those investments you will not lose any sleep over once you are living in your tiny home.Tiny AppliancesEvery piece of furniture and appliance you put into your tiny home, will make you compromise on something else. Tiny living is about downsizing your living space to bare necessities but that has a different meaning for different people. In order to create more space for storing stuff you can’t live without, making some sacrifices when it comes to appliances is important. Instead of a full-sized stove, opt in for a dual heat-plate design that will take up less space. A small refrigerator works fine, just like a large two-door model. Also shopping more frequently for fresh groceries will lead you to a healthier lifestyle and diet. A fold out dinning-table in the kitchen, saves you the space that you might need for a dining table. Tiny appliances and gadgets do tend to have a higher price than standard ones, but they provide so much more than function to tiny home dwellers.","You are a journalist. Given a 'passage', please paraphrase it. Do not generate any other word. The 'passage' is: ","Living in regular-sized homes with plenty of space for closets, lockers and shelves gives us little need to think about storage space. In tiny homes, space comes at a premium so storage space is one of the key issues that a tiny house owner will have to plan for when building, buying or furnishing their home. There is only so much we can downsize by moving to a tiny home, so planning for storage space is an integral part of preparation for tiny living.VerticalityTiny houses for sale in Florida have tiny floor plans. There is only so much space to put things on the floor, and once bare necessities such as beds, kitchen elements etc. are taken care of, there is little space left to put all of our stuff. Verticality is key in these situations. Wall-mounted shelving is excellent for organizing your stuff and it doesn’t demand a single inch of your floor. They are also quite inexpensive and easy to install. Instead of having an entertainment center, it is now easy to mount your TV and speakers on the wall, leaving more space for things you can’t compromise with.Multi-functional FurnitureIn a tiny house, a bed doesn’t have the luxury to be just a bed. It needs to perform multiple functions, where storage is one of the most important ones. The same applies to coffee and night tables, sofas and kitchen elements. Beds can have drawers for your linens, or room for storage under their mattress. Instead of a regular coffee table, opt in for a cube design, where multiple storage drawers are integrated for all those small things you don’t have space for.Customized FurnitureSometimes it is difficult to furnish a tiny home, especially if it doesn’t use a standard floor plan. Customized furniture is a huge advantage in tiny homes, where space is at a premium. You can make sure that every single corner and nook of your house can be used in a functional way. The same applies to storage. A well-placed shelf or locker, can perform a very important function while not taking up much space or by utilizing and otherwise unused space. Customized furniture does come at a premium price, but it is one of those investments you will not lose any sleep over once you are living in your tiny home.Tiny AppliancesEvery piece of furniture and appliance you put into your tiny home, will make you compromise on something else. Tiny living is about downsizing your living space to bare necessities but that has a different meaning for different people. In order to create more space for storing stuff you can’t live without, making some sacrifices when it comes to appliances is important. Instead of a full-sized stove, opt in for a dual heat-plate design that will take up less space. A small refrigerator works fine, just like a large two-door model. Also shopping more frequently for fresh groceries will lead you to a healthier lifestyle and diet. A fold out dinning-table in the kitchen, saves you the space that you might need for a dining table. Tiny appliances and gadgets do tend to have a higher price than standard ones, but they provide so much more than function to tiny home dwellers.","In conclusion, a tiny home is a huge lifestyle change. It is a great way to save money, be eco-friendly and minimalistic. It is a choice to live in a smaller, more energy-efficient and portable home. But with these changes come challenges. Space is a big one, but with planning, creativity and smart investments, it is a challenge that can be met and overcome.",paraphrase_generation
politifact14643,1,"SHARE this story with your friends!10.3k SHARES Share Tweet ShareWhen Donald Trump hinted that he may end aid to Puerto Rico over the mayor of San Juan’s decision to withhold aid from the rest of the country, the city’s other leaders finally took action.While Puerto Rico’s Governor has praised Donald Trump’s efforts to quell the suffering of the people affected by Hurricane Maria, many of those efforts have been in vain because supplies come into San Juan, and the mayor has been stingy with distribution.“We simply don’t have the staff or resources to distribute countrywide,” Mayor Carmen Yulin Cruz told a local newspaper, adding that “anyone can come to San Juan if they need supplies.”Unfortunately, that explanation was not good enough for her peers. In an emergency meeting on Thursday, the city council held an emergency meeting to initiate impeachment proceedings which begin on Monday.Donald Trump has helped Puerto Rico and other hurricane-affected areas much more efficiently than any previous President, and Puerto Rico needs to replace their leadership with someone who understands and appreciates that before they lose the aid we aren’t even required to give them.","You are a journalist. Given a 'passage', please paraphrase it. Do not generate any other word. The 'passage' is: ","SHARE this story with your friends!10.3k SHARES Share Tweet ShareWhen Donald Trump hinted that he may end aid to Puerto Rico over the mayor of San Juan’s decision to withhold aid from the rest of the country, the city’s other leaders finally took action.While Puerto Rico’s Governor has praised Donald Trump’s efforts to quell the suffering of the people affected by Hurricane Maria, many of those efforts have been in vain because supplies come into San Juan, and the mayor has been stingy with distribution.“We simply don’t have the staff or resources to distribute countrywide,” Mayor Carmen Yulin Cruz told a local newspaper, adding that “anyone can come to San Juan if they need supplies.”Unfortunately, that explanation was not good enough for her peers. In an emergency meeting on Thursday, the city council held an emergency meeting to initiate impeachment proceedings which begin on Monday.Donald Trump has helped Puerto Rico and other hurricane-affected areas much more efficiently than any previous President, and Puerto Rico needs to replace their leadership with someone who understands and appreciates that before they lose the aid we aren’t even required to give them.","Share this story with your friends!10.3k SHARES Share Tweet ShareThis article is about the recent events involving Donald Trump, the mayor of San Juan, and the city council of Puerto Rico. The mayor, Carmen Yulin Cruz, has been withholding aid from the rest of the country, which has led to an emergency meeting among the city council members. They plan to initiate impeachment proceedings against her, starting on Monday. The article also mentions that Donald Trump has provided more aid to Puerto Rico than any other previous president. It suggests that Puerto Rico should replace its current leadership with someone who appreciates the help they have received and will continue to receive from the United States.",paraphrase_generation
politifact15280,1,"A leaked Hillary Clinton email confirms that the Obama administration, with Hillary at the helm, orchestrated a civil war in Syria to benefit Israel.The new Wikileaks release shows the then Secretary of State ordering a war in Syria in order to overthrow the government and oust President Assad, claiming it was the “best way to help Israel”.Newobserveronline.com reports:The document was one of many unclassified by the US Department of State under case number F-2014-20439, Doc No. C05794498, following the uproar over Clinton’s private email server kept at her house while she served as Secretary of State from 2009 to 2013.Although the Wikileaks transcript dates the email as December 31, 2000, this is an error on their part, as the contents of the email (in particular the reference to May 2012 talks between Iran and the west over its nuclear program in Istanbul) show that the email was in fact sent on December 31, 2012.The email makes it clear that it has been US policy from the very beginning to violently overthrow the Syrian government—and specifically to do this because it is in Israel’s interests.“The best way to help Israel deal with Iran’s growing nuclear capability is to help the people of Syria overthrow the regime of Bashar Assad,” Clinton forthrightly starts off by saying.Even though all US intelligence reports had long dismissed Iran’s “atom bomb” program as a hoax (a conclusion supported by the International Atomic Energy Agency), Clinton continues to use these lies to “justify” destroying Syria in the name of Israel.She specifically links Iran’s mythical atom bomb program to Syria because, she says, Iran’s “atom bomb” program threatens Israel’s “monopoly” on nuclear weapons in the Middle East.If Iran were to acquire a nuclear weapon, Clinton asserts, this would allow Syria (and other “adversaries of Israel” such as Saudi Arabia and Egypt) to “go nuclear as well,” all of which would threaten Israel’s interests.Therefore, Clinton, says, Syria has to be destroyed.Iran’s nuclear program and Syria’s civil war may seem unconnected, but they are. What Israeli military leaders really worry about — but cannot talk about — is losing their nuclear monopoly.An Iranian nuclear weapons capability would not only end that nuclear monopoly but could also prompt other adversaries, like Saudi Arabia and Egypt, to go nuclear as well. The result would be a precarious nuclear balance in which Israel could not respond to provocations with conventional military strikes on Syria and Lebanon, as it can today.If Iran were to reach the threshold of a nuclear weapons state, Tehran would find it much easier to call on its allies in Syria and Hezbollah to strike Israel, knowing that its nuclear weapons would serve as a deterrent to Israel responding against Iran itself.It is, Clinton continues, the “strategic relationship between Iran and the regime of Bashar Assad in Syria” that makes it possible for Iran to undermine Israel’s security.This would not come about through a “direct attack,” Clinton admits, because “in the thirty years of hostility between Iran and Israel” this has never occurred, but through its alleged “proxies.”The end of the Assad regime would end this dangerous alliance. Israel’s leadership understands well why defeating Assad is now in its interests.Bringing down Assad would not only be a massive boon to Israel’s security, it would also ease Israel’s understandable fear of losing its nuclear monopoly.Then, Israel and the United States might be able to develop a common view of when the Iranian program is so dangerous that military action could be warranted.Clinton goes on to asset that directly threatening Bashar Assad “and his family” with violence is the “right thing” to do:In short, the White House can ease the tension that has developed with Israel over Iran by doing the right thing in Syria.With his life and his family at risk, only the threat or use of force will change the Syrian dictator Bashar Assad’s mind.The email prov","You are a journalist. Given a 'passage', please paraphrase it. Do not generate any other word. The 'passage' is: ","A leaked Hillary Clinton email confirms that the Obama administration, with Hillary at the helm, orchestrated a civil war in Syria to benefit Israel.The new Wikileaks release shows the then Secretary of State ordering a war in Syria in order to overthrow the government and oust President Assad, claiming it was the “best way to help Israel”.Newobserveronline.com reports:The document was one of many unclassified by the US Department of State under case number F-2014-20439, Doc No. C05794498, following the uproar over Clinton’s private email server kept at her house while she served as Secretary of State from 2009 to 2013.Although the Wikileaks transcript dates the email as December 31, 2000, this is an error on their part, as the contents of the email (in particular the reference to May 2012 talks between Iran and the west over its nuclear program in Istanbul) show that the email was in fact sent on December 31, 2012.The email makes it clear that it has been US policy from the very beginning to violently overthrow the Syrian government—and specifically to do this because it is in Israel’s interests.“The best way to help Israel deal with Iran’s growing nuclear capability is to help the people of Syria overthrow the regime of Bashar Assad,” Clinton forthrightly starts off by saying.Even though all US intelligence reports had long dismissed Iran’s “atom bomb” program as a hoax (a conclusion supported by the International Atomic Energy Agency), Clinton continues to use these lies to “justify” destroying Syria in the name of Israel.She specifically links Iran’s mythical atom bomb program to Syria because, she says, Iran’s “atom bomb” program threatens Israel’s “monopoly” on nuclear weapons in the Middle East.If Iran were to acquire a nuclear weapon, Clinton asserts, this would allow Syria (and other “adversaries of Israel” such as Saudi Arabia and Egypt) to “go nuclear as well,” all of which would threaten Israel’s interests.Therefore, Clinton, says, Syria has to be destroyed.Iran’s nuclear program and Syria’s civil war may seem unconnected, but they are. What Israeli military leaders really worry about — but cannot talk about — is losing their nuclear monopoly.An Iranian nuclear weapons capability would not only end that nuclear monopoly but could also prompt other adversaries, like Saudi Arabia and Egypt, to go nuclear as well. The result would be a precarious nuclear balance in which Israel could not respond to provocations with conventional military strikes on Syria and Lebanon, as it can today.If Iran were to reach the threshold of a nuclear weapons state, Tehran would find it much easier to call on its allies in Syria and Hezbollah to strike Israel, knowing that its nuclear weapons would serve as a deterrent to Israel responding against Iran itself.It is, Clinton continues, the “strategic relationship between Iran and the regime of Bashar Assad in Syria” that makes it possible for Iran to undermine Israel’s security.This would not come about through a “direct attack,” Clinton admits, because “in the thirty years of hostility between Iran and Israel” this has never occurred, but through its alleged “proxies.”The end of the Assad regime would end this dangerous alliance. Israel’s leadership understands well why defeating Assad is now in its interests.Bringing down Assad would not only be a massive boon to Israel’s security, it would also ease Israel’s understandable fear of losing its nuclear monopoly.Then, Israel and the United States might be able to develop a common view of when the Iranian program is so dangerous that military action could be warranted.Clinton goes on to asset that directly threatening Bashar Assad “and his family” with violence is the “right thing” to do:In short, the White House can ease the tension that has developed with Israel over Iran by doing the right thing in Syria.With his life and his family at risk, only the threat or use of force will change the Syrian dictator Bashar Assad’s mind.The email prov","oked a strong reaction from Russian officials, with Presidential Spokesman Dmitry Peskov describing it as “unprecedented tomfoolery” and indicating that it makes a mockery of international diplomacy.",paraphrase_generation
politifact15301,1,This Account has been suspended.Contact your hosting provider for more information.,"You are a journalist. Given a 'passage', please paraphrase it. Do not generate any other word. The 'passage' is: ",This Account has been suspended.Contact your hosting provider for more information.,Answer: This account has been temporarily disabled. Get in touch with your hosting service for further details.,paraphrase_generation
